label,short_name,fund_usd,fund_share,fund_n_grants,fund_n_low_confidence,fund_usd_coefficient,fund_usd_eafunds,fund_usd_fli,fund_usd_manifund,fund_usd_sff,delphi_bau_pct,delphi_pm_pct,delphi_reduction_pp,delphi_reduction_se,delphi_n_experts,delphi_bau_point_rank,delphi_bau_rank_p05,delphi_bau_rank_p95,delphi_reduction_point_rank,delphi_reduction_rank_p05,delphi_reduction_rank_p95,delphi_concern_pct,delphi_concern_pct_balanced,delphi_concern_pct_insiders,delphi_concern_pct_outsiders
1.1,Discrimination,585000.0,0.0007410774518741844,3,0,0.0,0.0,0.0,50000.0,535000.0,9.088235294117647,5.522058823529412,3.5661764705882355,0.9522110729991643,68.0,23.0,13.0,24.0,20.0,12.0,23.0,12.380952380952381,11.764705882352942,17.647058823529413,5.88235294117647
1.2,Toxic content,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9.725000000000001,7.530555555555556,2.1944444444444446,1.2375214889552837,36.0,20.0,12.0,24.0,24.0,16.0,24.0,7.142857142857142,5.915736821854559,6.521739130434782,5.3097345132743365
1.3,Unequal performance,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,9.162096774193548,5.395161290322581,3.766935483870968,1.503075880142232,62.0,22.0,13.0,24.0,17.0,8.0,24.0,3.3333333333333335,4.360845322502925,8.21917808219178,0.5025125628140703
2.1,Loss of privacy,55000.0,6.967394846680365e-05,1,0,0.0,55000.0,0.0,0.0,0.0,11.173913043478262,7.202898550724638,3.971014492753623,1.3456334317676781,69.0,16.0,9.0,22.0,16.0,9.0,23.0,10.476190476190476,10.096618357487923,16.304347826086957,3.888888888888889
2.2,AI security vulnerabilities,33498831.33,0.0424362881415376,32,3,32646662.0,133669.33000000002,0.0,393500.0,325000.0,15.68,8.766666666666667,6.913333333333333,1.5509768306229237,75.0,8.0,3.0,14.0,6.0,2.0,15.0,16.19047619047619,14.663302697182676,21.50537634408602,7.82122905027933
3.1,False information,6116633.0,0.007748544953315467,2,1,6116133.0,0.0,0.0,500.0,0.0,12.837209302325581,6.813953488372093,6.023255813953488,0.8920023464932855,43.0,10.0,5.0,20.0,9.0,5.0,15.0,21.904761904761905,18.690629011553273,23.170731707317074,14.210526315789473
3.2,Loss of consensus reality,195000.0,0.00024702581729139477,1,1,0.0,0.0,0.0,0.0,195000.0,12.622727272727273,6.804545454545455,5.818181818181818,1.0205143113309474,66.0,11.0,6.0,19.0,10.0,4.0,16.0,8.571428571428571,8.427672955974842,11.666666666666666,5.188679245283019
4.1,Disinformation & influence,1065362.0,0.0013495995833907432,3,0,223000.0,0.0,842362.0,0.0,0.0,12.596774193548388,7.129032258064516,5.467741935483871,1.219599708484174,62.0,12.0,7.0,19.0,12.0,5.0,19.0,21.904761904761905,15.508021390374331,11.76470588235294,19.25133689839572
4.2,Weapons & cyberattacks,2330949.16,0.002952844211865078,5,1,670949.0,0.0,1500000.0,160000.16,0.0,21.0,11.901639344262295,9.098360655737705,2.4949900530954507,61.0,2.0,1.0,6.0,3.0,1.0,11.0,11.904761904761903,11.62358937022206,16.417910447761194,6.829268292682928
4.3,Fraud & scams,627000.0,0.0007942830125215617,4,0,612000.0,0.0,0.0,15000.0,0.0,11.49,8.685,2.805,0.7269340845395172,50.0,14.0,6.0,23.0,22.0,16.0,24.0,26.666666666666668,23.85387289302814,31.645569620253166,16.06217616580311
